_id,LINKID,SEQUENCENUMBER,RTE_NM,RTE_NM_2,RTE_NM_3,RTE_NM_4,Host RTE_NM,Route Label,Street Name,Physical Jurisdiction,Physical Jurisdiciton Name,Maintenance Jurisdiction,Maintenance Jurisdiciton Name,Start Label,Start Node,Start Node Route Sequence,Star tOffset,Start Milepoint,End Label,End Node,End Node Route Sequence,End Offset,End Milepoint,VPDDate,AADT,AADT Quality,Passenger Vehicle,Bus,Truck 2 Axle,Truck 3 Axle,Truck 1 Trailer,Truck 2 Trailer,Class Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,AADT Dir,AADT Quality Dir,PassengerVehicle Dir,Bus Dir,Truck 2 Axle Dir,Truck 3 Axle Dir,Truck 1 Trailer Dir,Truck 2 Trailer Dir,Class Quality Dir,K Factor Dir,K Factor Quality Dir,Direction Factor Dir,AAWDT Dir,AAWDT Quality Dir
11,804166,0,R-VA   US00460EB      RMP115.00A,"","","",R-VA   US00460EB      RMP115.00A,US 460  EB EXIT 115A,Ramp,150,Town of Blacksburg,60,Montgomery County,    US-00460(B)/RAMP TO RTE. 412 PRICE FORK RD.,463774,0,0,0,    150-03152(B)/RAMP-FR RT 460/,1278372,0,0,0.17,    01/01/2022,2251,F,"","","","","","",X,0.134,6,1,2251,F,"","","","","","","","","","","","","",""
12,804167,0,R-VA   US00460EB      RMP118.00A,"","","",R-VA   US00460EB      RMP118.00A,US 460  EB EXIT 118A,Ramp,150,Town of Blacksburg,60,Montgomery County,    US-00460(B)/RAMP TO BUS 460,736994,0,0,0,    SPLIT OF RAMP FROM US460,700867,0,0,0.4,    01/01/2022,6378,F,"","","","","","",X,"",24,"",6378,F,"","","","","","","","","","","","","",""
13,20455,0,R-VA   US00460EBBUS007,"","","",R-VA   US00460EBBUS007,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    US 460; SCL Blacksburg,463793,0,0,0,    Jurisdiction Boundary: 150 Town of Blacksburg / 060 Montgomery County,1094402,0,0,0.26,    01/01/2022,14832,G,98,0,1,0,0,0,F,0.096,6,0.56,15694,G,"","","","","","","","","","","","","",""
14,607202,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    US 460,463777,0,0,0,    ,463813,0,0,1.01,    01/01/2022,4340,F,97,2,0,0,0,0,F,0.12,6,0.51,4549,F,"","","","","","","","","","","","","",""
15,607201,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Mount Tabor Rd,463813,0,0,1.01,    Patrick Henry Dr,463811,0,0,1.88,    01/01/2022,7123,G,97,2,0,0,0,0,C,0.11,6,0.62,7534,G,"","","","","","","","","","","","","",""
16,607204,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Patrick Henry Dr,463811,0,0,1.88,    Broce Dr,463809,0,0,2.32,    01/01/2022,12789,G,97,2,0,0,0,0,F,0.088,6,0.54,13528,G,"","","","","","","","","","","","","",""
17,607195,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Broce Dr,463809,0,0,2.32,    Progress St,463806,0,0,2.58,    01/01/2022,13792,G,97,2,0,0,0,0,F,0.086,6,0.54,14588,G,"","","","","","","","","","","","","",""
18,607196,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Progress St,463806,0,0,2.58,    Prices Fork Rd,463758,0,0,2.75,    01/01/2022,17769,G,97,2,0,0,0,0,F,0.086,6,0.51,18796,G,"","","","","","","","","","","","","",""
19,607207,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Prices Fork Rd,463758,0,0,2.75,    Roanoke St,463799,0,0,3.28,    01/01/2022,19514,G,97,2,0,0,0,0,F,0.081,6,0.5,20647,G,"","","","","","","","","","","","","",""
20,607188,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Roanoke St,463799,0,0,3.28,    ,717595,0,0,3.47,    01/01/2022,17255,G,98,1,1,0,0,0,F,0.08,6,0.53,18258,G,"","","","","","","","","","","","","",""
21,607206,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Clay St,717595,0,0,3.47,    Upland Rd,463796,0,0,4,    01/01/2022,18893,G,98,1,1,0,0,0,F,0.09,6,0.51,19990,G,"","","","","","","","","","","","","",""
22,607187,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Upland Rd,463796,0,0,4,    Ellett Rd,463794,0,0,5,    01/01/2022,21698,F,98,1,1,0,0,0,F,0.097,6,0.52,23029,F,"","","","","","","","","","","","","",""
23,607185,0,R-VA   US00460EBBUS008,"","","",R-VA   US00460EBBUS008,BUS US 460,Main St,150,Town of Blacksburg,150,Town of Blacksburg,    Ellett Rd,463794,0,0,5,    ,463793,0,0,6.43,    01/01/2022,22896,F,98,1,1,0,0,0,C,0.097,6,0.54,24301,F,"","","","","","","","","","","","","",""
24,804433,0,R-VA   US00460EBBUS008RMP006.00A,"","","",R-VA   US00460EBBUS008RMP006.00A,BUS US 460  EB EXIT 6A,Ramp,150,Town of Blacksburg,60,Montgomery County,    C8US-00460(B)/RAMP TO US60 BYP,736967,0,0,0,    US-00460(B)/RAMP FR C8US-0460,736562,0,0,0.67,    01/01/2022,7495,F,"","","","","","",X,"",24,"",7495,F,"","","","","","","","","","","","","",""
25,804184,0,R-VA   US00460WB      RMP115.00B,"","","",R-VA   US00460WB      RMP115.00B,US 460  WB EXIT 115B,Ramp,150,Town of Blacksburg,60,Montgomery County,    US-00460(B)/RAMP TO PRICES FORK RD.,721468,0,0,0,    SR-00412(B)/RAMP FROM RTE. 460,463748,0,0,0.17,    01/01/2022,5733,F,"","","","","","",X,0.102,6,1,5733,F,"","","","","","","","","","","","","",""
26,804185,0,R-VA   US00460WB      RMP118.00A,"","","",R-VA   US00460WB      RMP118.00A,US 460  WB EXIT 118A,Ramp,150,Town of Blacksburg,60,Montgomery County,    US-00460(B)/RAMP TO C8US-460,736561,0,0,0,    SPLIT OF RAMP FROM US 460,1035432,0,0,0.65,    01/01/2022,7862,F,"","","","","","",X,"",24,"",7862,F,"","","","","","","","","","","","","",""
27,804426,0,R-VA   US00460WBBUS008RMP006.00A,"","","",R-VA   US00460WBBUS008RMP006.00A,BUS US 460  WB EXIT 6A,Ramp,150,Town of Blacksburg,60,Montgomery County,    C8US-00460(B)/RAMP TO US 460 E & W,753097,0,0,0,    SPLIT OF RAMP FROM 460 BYP,756568,0,0,0.27,    01/01/2022,5517,F,"","","","","","",X,"",24,"",5517,F,"","","","","","","","","","","","","",""
28,200691,0,S-VA060PR DAVIS ST,"","","",S-VA060PR DAVIS ST,Davis St,"",150,Town of Blacksburg,150,Town of Blacksburg,    60-775 Davis St,1265896,0,0,0.165,    ,1009947,0,0,0.205,    ,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","",""
29,607215,0,S-VA150PR AIRPORT RD,"","","",S-VA150PR AIRPORT RD,Airport Rd,Airport Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Bus US 460 Main Street,1009964,0,0,0,    Southgate Dr,463816,0,0,0.37,    01/01/2022,1804,F,99,0,0,0,0,0,C,0.116,6,0.7,1915,F,"","","","","","","","","","","","","",""
30,607220,0,S-VA150PR AIRPORT RD,"","","",S-VA150PR AIRPORT RD,Airport Rd,Airport Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Southgate Dr,463816,0,0,0.37,    Jurisdiction Boundary: 150 Town of Blacksburg / ,1009963,0,0,0.99,    01/01/2022,4393,F,99,1,0,0,0,0,F,0.108,6,0.56,4663,F,"","","","","","","","","","","","","",""
31,796414,0,S-VA150PR CLAY ST,"","","",S-VA150PR CLAY ST,Clay St,Clay St,150,Town of Blacksburg,150,Town of Blacksburg,    Bus US 460,717595,0,0,0.328,"    ECL Blacksburg; 60-1235, Floyd St",463261,0,0,1.268,    01/01/2022,2511,F,99,0,1,0,0,0,C,0.122,6,0.63,2665,F,"","","","","","","","","","","","","",""
32,754154,0,S-VA150PR COMMERCE ST,"","","",S-VA150PR COMMERCE ST,Commerce St,Commerce St,150,Town of Blacksburg,150,Town of Blacksburg,    Dead End,715523,0,0,0.323,    SCL Blacksburg,715522,0,0,0.42,    05/03/2022,539,R,"","","","","","",X,"",24,"","",X,"","","","","","","","","","","","","",""
33,607216,0,S-VA150PR COUNTRY CLUB DR SW,"","","",S-VA150PR COUNTRY CLUB DR SW,Country Club Dr Sw,Country Club Dr,150,Town of Blacksburg,150,Town of Blacksburg,    Main St,463795,0,0,0,    Airport Rd,463819,0,0,0.4,    01/01/2022,3199,F,99,1,0,0,0,0,C,0.117,6,0.53,3356,F,"","","","","","","","","","","","","",""
34,201310,0,S-VA150PR DAVIS ST,"","","",S-VA150PR DAVIS ST,Davis St,"",150,Town of Blacksburg,150,Town of Blacksburg,    60-808 Hightop Rd,1279854,0,0,0,    Davis St,1009947,0,0,0.34,    ,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","",""
35,607186,0,S-VA150PR ELLETT RD,"","","",S-VA150PR ELLETT RD,Ellett Rd,Ellett Rd,150,Town of Blacksburg,150,Town of Blacksburg,    S Main St,463794,0,0,0,    ,463015,0,0,0.71,    01/01/2022,5207,G,97,2,0,0,0,0,C,0.1,6,0.57,5510,G,"","","","","","","","","","","","","",""
36,790878,0,S-VA150PR GIVENS LN,"","","",S-VA150PR GIVENS LN,Givens Ln,Givens Lane,150,Town of Blacksburg,150,Town of Blacksburg,    Bus US 460 North Main St,736949,0,0,0,    ,1035253,0,0,1.55,    01/01/2022,1520,G,97,1,1,1,0,0,C,0.1,6,0.58,1608,G,"","","","","","","","","","","","","",""
37,607210,0,S-VA150PR GLADE RD,"","","",S-VA150PR GLADE RD,Glade Rd,Glade Rd,150,Town of Blacksburg,150,Town of Blacksburg,    University City Blvd,713051,0,0,0,    Oriole Dr,463844,0,0,0.365,    01/01/2022,4687,F,97,0,1,1,0,0,F,0.101,6,0.61,4917,F,"","","","","","","","","","","","","",""
38,607211,0,S-VA150PR GLADE RD,"","","",S-VA150PR GLADE RD,Glade Rd,Glade Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Oriole Dr,463844,0,0,0.365,    Boxwood Dr,463840,0,0,0.825,    01/01/2022,1966,G,97,0,1,1,0,0,C,0.111,6,0.54,2080,G,"","","","","","","","","","","","","",""
39,607502,0,S-VA150PR GLADE RD,"","","",S-VA150PR GLADE RD,Glade Rd,Glade Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Boxwood Dr,463840,0,0,0.825,    ,463173,0,0,2.325,    01/01/2022,1461,F,98,0,0,1,0,0,C,0.133,6,0.6,1532,F,"","","","","","","","","","","","","",""
40,607500,0,S-VA150PR HARDING AVE,"","","",S-VA150PR HARDING AVE,Harding Ave,Owen St,150,Town of Blacksburg,150,Town of Blacksburg,    Roanoke St,463862,0,0,0.34,    Harding Ave,463862,0,0.11,0.45,    01/01/2022,4247,G,95,1,4,0,0,0,C,0.096,6,0.51,4496,G,"","","","","","","","","","","","","",""
41,607217,0,S-VA150PR HARDING AVE,"","","",S-VA150PR HARDING AVE,Harding Ave,Harding Ave,150,Town of Blacksburg,150,Town of Blacksburg,    Owen St,463862,0,0.11,0.45,    Cork Dr,463866,0,0,0.48,    01/01/2022,3857,G,96,1,3,0,0,0,C,0.102,6,0.6,4084,G,"","","","","","","","","","","","","",""
42,607501,0,S-VA150PR HARDING AVE,"","","",S-VA150PR HARDING AVE,Harding Ave,Harding Ave,150,Town of Blacksburg,150,Town of Blacksburg,    Cork Dr,463866,0,0,0.48,    ECL Blacksburg,463342,0,0,1.12,    01/01/2022,3604,G,96,1,3,0,0,0,F,0.095,6,0.63,3816,G,"","","","","","","","","","","","","",""
43,607209,0,S-VA150PR MOUNT TABOR RD,"","","",S-VA150PR MOUNT TABOR RD,Mount Tabor Rd,Mt Tabor Rd,150,Town of Blacksburg,150,Town of Blacksburg,    US 460 Bus,463813,0,0,0,    ,463080,0,0,0.91,    01/01/2022,3297,F,99,0,1,0,0,0,C,0.103,6,0.71,3455,F,"","","","","","","","","","","","","",""
44,787606,0,S-VA150PR PATRICK HENRY DR,"","","",S-VA150PR PATRICK HENRY DR,Patrick Henry Dr,Patrick Henry Dr,150,Town of Blacksburg,150,Town of Blacksburg,    Harding Ave,463867,0,0,0,    Bus US 460,463811,0,0,0.77,    01/01/2022,3775,G,98,0,0,0,0,0,C,0.107,6,0.52,3997,G,"","","","","","","","","","","","","",""
45,787607,0,S-VA150PR PATRICK HENRY DR,"","","",S-VA150PR PATRICK HENRY DR,Patrick Henry Dr,Patrick Henry Dr,150,Town of Blacksburg,150,Town of Blacksburg,    Toms Creek Rd,463811,0,0,0.77,    Progress St NW,463893,0,0,1.6,    01/01/2022,10045,G,98,0,0,0,0,0,F,0.096,6,0.5,10626,G,"","","","","","","","","","","","","",""
46,607212,0,S-VA150PR PRICES FORK RD,"","","",S-VA150PR PRICES FORK RD,Prices Fork Rd,Prices Fork Rd,150,Town of Blacksburg,150,Town of Blacksburg,    US 460,1093807,0,0,1.25,    ,1034835,0,0,1.85,    01/01/2022,23527,F,98,1,1,0,0,0,F,0.094,6,0.57,24971,F,"","","","","","","","","","","","","",""
47,607213,0,S-VA150PR PRICES FORK RD,"","","",S-VA150PR PRICES FORK RD,Prices Fork Rd,Prices Fork Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Heather Dr,1034835,0,0,1.85,    Hethwood Blvd,1035386,0,0,2.06,    01/01/2022,17481,F,98,1,1,0,0,0,F,0.113,6,0.52,18338,F,"","","","","","","","","","","","","",""
48,607214,0,S-VA150PR PRICES FORK RD,"","","",S-VA150PR PRICES FORK RD,Prices Fork Rd,Prices Fork Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Hethwood Blvd,1035386,0,0,2.06,    WCL Blacksburg,1274517,0,0,3.02,    01/01/2021,13453,G,"","","","","","",X,0.112,6,0.53,"",X,"","","","","","","","","","","","","",""
49,796449,0,S-VA150PR PROGRESS ST,"","","",S-VA150PR PROGRESS ST,Progress St,Progress St,150,Town of Blacksburg,150,Town of Blacksburg,"    Bus US 460, N Main St",463806,0,0,0.61,    ,717615,0,0,1.24,    01/01/2022,3115,G,98,1,1,0,0,0,F,0.085,6,0.52,3299,G,"","","","","","","","","","","","","",""
50,790879,0,S-VA150PR PROGRESS ST,"","","",S-VA150PR PROGRESS ST,Progress St,Progress St,150,Town of Blacksburg,150,Town of Blacksburg,    150-3165 Patrick Henry Dr,717615,0,0,1.24,    ,749917,0,0,1.91,    01/01/2022,1145,F,98,1,1,0,0,0,C,0.118,6,0.64,1199,F,"","","","","","","","","","","","","",""
51,796479,0,S-VA150PR PROGRESS ST,"","","",S-VA150PR PROGRESS ST,Progress St,Progress St,150,Town of Blacksburg,150,Town of Blacksburg,    Northside Dr,749917,0,0,1.91,    Dead End,756668,0,0,1.92,    01/01/2022,165,F,97,2,1,0,0,0,C,0.129,6,0.61,173,F,"","","","","","","","","","","","","",""
52,200840,0,S-VA150PR RESEARCH CENTER DR,"","","",S-VA150PR RESEARCH CENTER DR,Research Center Dr,"",150,Town of Blacksburg,150,Town of Blacksburg,    ,1274846,0,0,0,    ,1035456,0,0,2.08,    ,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","",""
53,607190,0,S-VA150PR ROANOKE ST E,"","","",S-VA150PR ROANOKE ST E,Roanoke St E,Roanoke St,150,Town of Blacksburg,150,Town of Blacksburg,    Main St,463799,0,0,0,    ,463861,0,0,0.42,    01/01/2022,4698,G,96,0,3,0,0,0,C,0.095,6,0.55,4971,G,"","","","","","","","","","","","","",""
54,200843,0,S-VA150PR SUNRIDGE DR,"","","",S-VA150PR SUNRIDGE DR,Sunridge Dr,"",150,Town of Blacksburg,150,Town of Blacksburg,    Toms Creek Rd,749991,0,0,0,    Givens Ln,749944,0,0,0.13,    ,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","",""
55,607203,0,S-VA150PR TOMS CREEK RD,"","","",S-VA150PR TOMS CREEK RD,Toms Creek Rd,Tom's Creek Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Prices Fork Rd,463755,0,0,0,    Jurisdiction Boundary: 150 Town of Blacksburg / ,1010138,0,0,2.12,    01/01/2022,6208,G,97,1,0,0,1,0,C,0.095,6,0.52,6573,G,"","","","","","","","","","","","","",""
56,607219,0,S-VA150PR UNIVERSITY CITY BLVD,"","","",S-VA150PR UNIVERSITY CITY BLVD,University City Blvd,University City Blvd,150,Town of Blacksburg,150,Town of Blacksburg,    Prices Fork Rd,463752,0,0,0,    ,463893,0,0,1.09,    01/01/2022,10408,F,99,1,0,0,0,0,C,0.097,6,0.57,11047,F,"","","","","","","","","","","","","",""
